0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2.0	0.1875	0.1875	0.1875	0.1875	0.0	0.0	0.0	0.1875	0.1875
3.0	0.25	0.25	0.25	0.25	0.0	0.0	0.0	0.25	0.25
4.0	0.0625	0.0625	0.0625	0.0625	0.0	0.0	0.0	0.0625	0.0625
5.0	0.1875	0.1875	0.1875	0.1875	0.0	0.0	0.0	0.1875	0.1875
6.0	0.125	0.125	0.125	0.125	0.0	0.0	0.0	0.125	0.125
7.0	0.0625	0.0625	0.0625	0.0625	0.0	0.0	0.0	0.0625	0.0625
8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9.0	0.0625	0.0625	0.0625	0.0625	0.0	0.0	0.0	0.0625	0.0625
10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
13.0	0.0625	0.0625	0.0625	0.0625	0.0	0.0	0.0	0.0625	0.0625
