0.0	0.6009	0.6009	0.6009	0.6009	0.0	0.0	0.0	0.6009	0.6009
1.0	0.1671	0.1671	0.1671	0.1671	0.0	0.0	0.0	0.1671	0.1671
2.0	0.0899	0.0899	0.0899	0.0899	0.0	0.0	0.0	0.0899	0.0899
3.0	0.0492	0.0492	0.0492	0.0492	0.0	0.0	0.0	0.0492	0.0492
4.0	0.0306	0.0306	0.0306	0.0306	0.0	0.0	0.0	0.0306	0.0306
5.0	0.0176	0.0176	0.0176	0.0176	0.0	0.0	0.0	0.0176	0.0176
6.0	0.0132	0.0132	0.0132	0.0132	0.0	0.0	0.0	0.0132	0.0132
7.0	0.0072	0.0072	0.0072	0.0072	0.0	0.0	0.0	0.0072	0.0072
8.0	0.0051	0.0051	0.0051	0.0051	0.0	0.0	0.0	0.0051	0.0051
9.0	0.0021	0.0021	0.0021	0.0021	0.0	0.0	0.0	0.0021	0.0021
10.0	0.001	0.001	0.001	0.001	0.0	0.0	0.0	0.001	0.001
11.0	0.001	0.001	0.001	0.001	0.0	0.0	0.0	0.001	0.001
12.0	6.0E-4	6.0E-4	6.0E-4	6.0E-4	0.0	0.0	0.0	6.0E-4	6.0E-4
13.0	6.0E-4	6.0E-4	6.0E-4	6.0E-4	0.0	0.0	0.0	6.0E-4	6.0E-4
14.0	3.0E-4	3.0E-4	3.0E-4	3.0E-4	0.0	0.0	0.0	3.0E-4	3.0E-4
15.0	4.0E-4	4.0E-4	4.0E-4	4.0E-4	0.0	0.0	0.0	4.0E-4	4.0E-4
16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
17.0	2.0E-4	2.0E-4	2.0E-4	2.0E-4	0.0	0.0	0.0	2.0E-4	2.0E-4
18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20.0	1.0E-4	1.0E-4	1.0E-4	1.0E-4	0.0	0.0	0.0	1.0E-4	1.0E-4
